"","serverId","vypadekId","zacatek","konec"
"171",762045,1391818167,"2014-02-08 01:09:27","2014-02-08 01:39:27"
"172",762045,1391213367,"2014-02-01 01:09:27","2014-02-01 01:39:27"
"173",762045,1390608567,"2014-01-25 01:09:27","2014-01-25 02:19:27"
"174",762045,1390003767,"2014-01-18 01:09:27","2014-01-18 02:39:27"
"175",762045,1389838767,"2014-01-16 03:19:27","2014-01-16 03:29:27"
"176",762045,1389398967,"2014-01-11 01:09:27","2014-01-11 01:49:27"
"177",762045,1389110967,"2014-01-07 17:09:27","2014-01-07 17:19:27"
"178",762045,1388794167,"2014-01-04 01:09:27","2014-01-04 01:39:27"
"179",762045,1388189367,"2013-12-28 01:09:27","2013-12-28 01:39:27"
"180",762045,1388187567,"2013-12-28 00:39:27","2013-12-28 00:49:27"
"181",762045,1387584567,"2013-12-21 01:09:27","2013-12-21 01:39:27"
"182",762045,1386979767,"2013-12-14 01:09:27","2013-12-14 01:39:27"
"183",762045,1386973767,"2013-12-13 23:29:27","2013-12-13 23:39:27"
"184",762045,1386970167,"2013-12-13 22:29:27","2013-12-13 22:39:27"
"185",762045,1386965367,"2013-12-13 21:09:27","2013-12-13 21:19:27"
"186",762045,1386814767,"2013-12-12 03:19:27","2013-12-12 03:29:27"
"187",762045,1386374967,"2013-12-07 01:09:27","2013-12-07 01:39:27"
"188",762045,1385770167,"2013-11-30 01:09:27","2013-11-30 01:49:27"
"189",762045,1385605767,"2013-11-28 03:29:27","2013-11-28 03:39:27"
"190",762045,1385165367,"2013-11-23 01:09:27","2013-11-23 01:29:27"
"191",1879375,1391778181,"2014-02-07 14:03:01","2014-02-07 14:13:01"
"192",1879375,1391563681,"2014-02-05 02:28:01","2014-02-05 02:33:01"
"193",1879375,1390181281,"2014-01-20 02:28:01","2014-01-20 02:33:01"
"194",1879375,1389661681,"2014-01-14 02:08:01","2014-01-14 02:13:01"
"195",1879375,1389623581,"2014-01-13 15:33:01","2014-01-13 15:38:01"
"196",1879375,1389575881,"2014-01-13 02:18:01","2014-01-13 02:23:01"
"197",1879375,1389424081,"2014-01-11 08:08:01","2014-01-11 08:13:01"
"198",1879375,1389423181,"2014-01-11 07:53:01","2014-01-11 07:58:01"
"199",1879375,1389077281,"2014-01-07 07:48:01","2014-01-07 07:53:01"
"200",1879375,1388661781,"2014-01-02 12:23:01","2014-01-02 12:43:01"
"201",1879375,1387674781,"2013-12-22 02:13:01","2013-12-22 02:18:01"
"202",1879375,1387501381,"2013-12-20 02:03:01","2013-12-20 02:08:01"
"203",1879375,1387390381,"2013-12-18 19:13:01","2013-12-18 19:18:01"
"204",1879375,1387351081,"2013-12-18 08:18:01","2013-12-18 08:23:01"
"205",1879375,1386727981,"2013-12-11 03:13:01","2013-12-11 03:18:01"
"206",1879375,1386016081,"2013-12-02 21:28:01","2013-12-02 22:33:01"
"207",1879375,1386012781,"2013-12-02 20:33:01","2013-12-02 20:43:01"
"208",1879375,1386004381,"2013-12-02 18:13:01","2013-12-02 18:23:01"
"209",1879375,1386003181,"2013-12-02 17:53:01","2013-12-02 18:08:01"
"210",1879375,1386002281,"2013-12-02 17:38:01","2013-12-02 17:43:01"
"211",1038801,1391526312,"2014-02-04 16:05:12","2014-02-04 17:45:12"
"212",1038801,1390492512,"2014-01-23 16:55:12","2014-01-23 17:25:12"
"213",1038801,1390379112,"2014-01-22 09:25:12","2014-01-22 09:35:12"
"214",1038801,1389913512,"2014-01-17 00:05:12","2014-01-17 00:35:12"
"215",1038801,1388941512,"2014-01-05 18:05:12","2014-01-05 18:25:12"
"216",1038801,1387524912,"2013-12-20 08:35:12","2013-12-20 08:45:12"
"217",1038801,1386894312,"2013-12-13 01:25:12","2013-12-13 01:35:12"
"218",1038801,1386600912,"2013-12-09 15:55:12","2013-12-09 16:05:12"
"219",1038801,1386104712,"2013-12-03 22:05:12","2013-12-03 23:25:12"
"220",1038801,1386101712,"2013-12-03 21:15:12","2013-12-03 21:25:12"
"221",1038801,1386087312,"2013-12-03 17:15:12","2013-12-03 18:45:12"
"222",1038801,1385555112,"2013-11-27 13:25:12","2013-11-27 13:35:12"
"223",1038801,1385552112,"2013-11-27 12:35:12","2013-11-27 13:15:12"
"224",1038801,1385047512,"2013-11-21 16:25:12","2013-11-21 16:35:12"
"225",1038801,1384518312,"2013-11-15 13:25:12","2013-11-15 13:35:12"
"226",1038801,1383801312,"2013-11-07 06:15:12","2013-11-07 08:15:12"
"227",1038801,1382768712,"2013-10-26 08:25:12","2013-10-26 08:35:12"
"228",1929893,1390098897,"2014-01-19 03:34:57","2014-01-19 03:54:57"
"229",1929893,1389366297,"2014-01-10 16:04:57","2014-01-10 17:04:57"
"230",1929893,1388111697,"2013-12-27 03:34:57","2013-12-27 05:24:57"
"231",1929893,1385433297,"2013-11-26 03:34:57","2013-11-26 04:34:57"
"232",1929893,1384828497,"2013-11-19 03:34:57","2013-11-19 04:24:57"
"233",1598304,1390099194,"2014-01-19 03:39:54","2014-01-19 03:59:54"
"234",1598304,1389366594,"2014-01-10 16:09:54","2014-01-10 17:09:54"
"235",1598304,1389203994,"2014-01-08 18:59:54","2014-01-08 19:09:54"
"236",1598304,1388111994,"2013-12-27 03:39:54","2013-12-27 05:29:54"
"237",1598304,1385433594,"2013-11-26 03:39:54","2013-11-26 04:29:54"
"238",1598304,1384828794,"2013-11-19 03:39:54","2013-11-19 04:29:54"
"239",1421125,1389448419,"2014-01-11 14:53:39","2014-01-11 15:13:39"
"240",1421125,1387404219,"2013-12-18 23:03:39","2013-12-18 23:23:39"
"241",1421125,1385250819,"2013-11-24 00:53:39","2013-11-24 01:03:39"
"242",1421125,1385243619,"2013-11-23 22:53:39","2013-11-23 23:23:39"
"243",1421125,1385241819,"2013-11-23 22:23:39","2013-11-23 22:53:39"
"244",1421125,1385236419,"2013-11-23 20:53:39","2013-11-23 21:03:39"
"245",1421125,1385233419,"2013-11-23 20:03:39","2013-11-23 20:53:39"
"246",1421125,1385229819,"2013-11-23 19:03:39","2013-11-23 20:03:39"
"247",1198014,1387364634,"2013-12-18 12:03:54","2013-12-18 12:13:54"
"248",1198014,1386439434,"2013-12-07 19:03:54","2013-12-07 19:43:54"
"249",1198014,1386436434,"2013-12-07 18:13:54","2013-12-07 18:43:54"
"250",1198014,1386434034,"2013-12-07 17:33:54","2013-12-07 18:03:54"
"251",1198014,1386420834,"2013-12-07 13:53:54","2013-12-07 14:03:54"
"252",1198014,1386419034,"2013-12-07 13:23:54","2013-12-07 13:43:54"
"253",1198014,1386416034,"2013-12-07 12:33:54","2013-12-07 12:43:54"
"254",1198014,1386413034,"2013-12-07 11:43:54","2013-12-07 11:53:54"
"255",1198014,1386410034,"2013-12-07 10:53:54","2013-12-07 11:13:54"
"256",1198014,1386408834,"2013-12-07 10:33:54","2013-12-07 10:43:54"
"257",1198014,1386407634,"2013-12-07 10:13:54","2013-12-07 10:23:54"
"258",1198014,1384670034,"2013-11-17 07:33:54","2013-11-17 07:43:54"
"259",834123,1389231537,"2014-01-09 02:38:57","2014-01-09 02:48:57"
"260",834123,1383979737,"2013-11-09 07:48:57","2013-11-09 10:28:57"
"261",1676409,1385478444,"2013-11-26 16:07:24","2013-11-26 18:07:24"
"262",1676409,1384449444,"2013-11-14 18:17:24","2013-11-14 18:27:24"
"263",1676409,1383208044,"2013-10-31 09:27:24","2013-10-31 09:37:24"
"264",1603223,1390725177,"2014-01-26 09:32:57","2014-01-26 09:52:57"
"265",1603223,1390572177,"2014-01-24 15:02:57","2014-01-24 15:12:57"
"266",1603223,1388023977,"2013-12-26 03:12:57","2013-12-26 05:12:57"
"267",1603223,1385112177,"2013-11-22 10:22:57","2013-11-22 10:32:57"
"268",1603223,1384696977,"2013-11-17 15:02:57","2013-11-17 15:12:57"
"269",1674285,1391806945,"2014-02-07 22:02:25","2014-02-07 22:12:25"
"270",1674285,1391674945,"2014-02-06 09:22:25","2014-02-06 09:32:25"
"271",1674285,1389910345,"2014-01-16 23:12:25","2014-01-16 23:22:25"
"272",1674285,1388350945,"2013-12-29 22:02:25","2013-12-29 22:12:25"
"273",1674285,1387347745,"2013-12-18 07:22:25","2013-12-18 07:32:25"
"274",1674285,1385837545,"2013-11-30 19:52:25","2013-11-30 20:02:25"
"275",1674285,1384528945,"2013-11-15 16:22:25","2013-11-15 16:32:25"
"276",1674285,1384487545,"2013-11-15 04:52:25","2013-11-15 05:02:25"
"277",1674285,1384172545,"2013-11-11 13:22:25","2013-11-11 13:32:25"
"278",1674285,1384167145,"2013-11-11 11:52:25","2013-11-11 12:02:25"
"279",1674285,1383202945,"2013-10-31 08:02:25","2013-10-31 08:12:25"
"280",942928,1389277767,"2014-01-09 15:29:27","2014-01-09 15:39:27"
"281",942928,1385478567,"2013-11-26 16:09:27","2013-11-26 17:59:27"
"282",942928,1384449567,"2013-11-14 18:19:27","2013-11-14 18:29:27"
"283",1648619,1388383359,"2013-12-30 07:02:39","2013-12-30 08:42:39"
